,pedestrianCount_sum,assetUid,latitude,longitude,time
74,2,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 07:00:00 2020
75,1,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 06:00:00 2020
76,0,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 05:00:00 2020
77,1,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 04:00:00 2020
78,2,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 03:00:00 2020
79,5,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 02:00:00 2020
80,8,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 01:00:00 2020
81,4,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Tue Jan 28 00:00:00 2020
82,7,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 23:00:00 2020
83,15,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 22:00:00 2020
84,24,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 21:00:00 2020
85,52,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 20:00:00 2020
86,47,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 19:00:00 2020
87,44,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 18:00:00 2020
88,38,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 17:00:00 2020
89,40,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 16:00:00 2020
90,48,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 15:00:00 2020
91,50,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 14:00:00 2020
92,91,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 13:00:00 2020
93,29,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 12:00:00 2020
94,24,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 11:00:00 2020
95,25,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 10:00:00 2020
96,8,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 09:00:00 2020
97,5,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 08:00:00 2020
98,1,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 07:00:00 2020
99,0,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 06:00:00 2020
100,2,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 05:00:00 2020
101,2,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 04:00:00 2020
102,3,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 03:00:00 2020
103,18,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 02:00:00 2020
104,30,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 01:00:00 2020
105,52,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Mon Jan 27 00:00:00 2020
106,23,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 23:00:00 2020
107,12,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 22:00:00 2020
108,31,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 21:00:00 2020
109,66,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 20:00:00 2020
110,96,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 19:00:00 2020
111,81,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 18:00:00 2020
112,85,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 17:00:00 2020
113,79,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 16:00:00 2020
114,95,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 15:00:00 2020
115,74,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 14:00:00 2020
116,60,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 13:00:00 2020
117,45,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 12:00:00 2020
118,22,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 11:00:00 2020
119,5,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 10:00:00 2020
120,2,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 09:00:00 2020
121,2,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 08:00:00 2020
122,1,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 07:00:00 2020
123,1,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 06:00:00 2020
124,1,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 05:00:00 2020
125,1,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 04:00:00 2020
126,3,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 03:00:00 2020
127,10,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 02:00:00 2020
128,8,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 01:00:00 2020
129,32,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sun Jan 26 00:00:00 2020
130,39,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 23:00:00 2020
131,47,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 22:00:00 2020
132,74,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 21:00:00 2020
133,75,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 20:00:00 2020
134,99,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 19:00:00 2020
135,121,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 18:00:00 2020
136,128,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 17:00:00 2020
137,136,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 16:00:00 2020
138,133,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 15:00:00 2020
139,110,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 14:00:00 2020
140,73,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 13:00:00 2020
141,33,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 12:00:00 2020
142,24,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 11:00:00 2020
143,21,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 10:00:00 2020
144,11,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 09:00:00 2020
145,1,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 08:00:00 2020
146,3,1d663439-3e17-4972-8111-d8641ffa2da7,45.511943,-122.622689,Sat Jan 25 07:00:00 2020
