,Unnamed: 0,Unnamed: 0.1,zipcode,maxNaics_est,totalEstab,maxNaics_emp,totalEmp,year,total_tran,pop,edut,households,income,gini,ratio_65,ratio_22_50,bus_ratio,bus_ratio_total,public_ratio,car_ratio,bicy_ratio,walked_ratio,total_college,college_ratio,college_ratio_pop,diff_MaxtotalEstab,diff_MaxtotalEmp
310,310,20581,92024,54,455,62,6960,2013,40578.0,90074.0,63008.0,2429.0,33263.0,7.8092000000000015,0.3702400248684415,0.13189155583187154,0.30498533724340177,0.005125930307062941,0.016807136872196756,0.8271230716151609,0.01229730395780965,0.014392035092907488,21178.0,0.33611604875571355,0.2351177920376579,-17.0,-80.0
311,311,25889,92024,54,472,62,7040,2014,40916.0,91429.0,64380.0,2477.0,33861.0,7.809799999999999,0.3636154830524232,0.1394305964190793,0.4134453781512605,0.0060123179196402395,0.014541988464170498,0.8122983673868414,0.01349105484407078,0.014957473848861081,22029.0,0.34217148182665424,0.2409410580887902,3.0,-430.0
312,312,31197,92024,54,469,62,7470,2015,42368.0,91690.0,64720.0,2512.0,34086.0,7.830000000000001,0.3554804231650125,0.151521430908496,0.2847457627118644,0.0039652567975830815,0.013925604229607251,0.7983147658610272,0.008992635951661632,0.0177964501510574,22561.0,0.3485939431396786,0.24605736721561786,-34.0,-220.0
313,313,36505,92024,54,503,62,7690,2016,43409.0,92848.0,65836.0,2533.0,34219.0,7.772900000000001,0.35704592452179906,0.15940031018438738,0.20817843866171004,0.002580110115413855,0.012393743232970121,0.7968393651086181,0.006611532170748002,0.017553963463797832,23148.0,0.35160094780970896,0.2493107013613648,-20.0,1710.0
314,314,41813,92024,54,523,62,5980,2017,44454.0,93930.0,67140.0,2503.0,34857.0,7.973699999999997,0.34906845523262003,0.1639305866070478,0.2684283727399165,0.004341566563188915,0.01617402258514419,0.7869708012777253,0.0058262473568182855,0.017208800107976784,23558.0,0.35087876079833186,0.250803790056425,0.0,0.0
315,315,4658,92025,44,327,62,7560,2010,33124.0,77733.0,49982.0,1832.0,25108.0,6.557,0.3599629500984138,0.15149293093023555,0.9871645274212368,0.025540393672261803,0.02587247916918247,0.8884192730346576,0.0043774906412269035,0.013041903151793264,9762.0,0.1953103117122164,0.12558372891822006,-2.0,-160.0
316,316,9966,92025,44,329,62,7720,2011,33774.0,78092.0,49666.0,1847.0,25358.0,6.51,0.3610869231163243,0.12752906827844082,0.9752281616688396,0.022147213833126074,0.02270977675134719,0.9024989636998876,0.004174809024693551,0.014833895896251554,9852.0,0.19836507872588893,0.1261588895149311,44.0,1070.0
317,317,15274,92025,62,285,62,6650,2012,33182.0,78730.0,50183.0,1911.0,25138.0,6.5987,0.36306363520894197,0.12822304077225966,0.9390243902439024,0.02088481706949551,0.022240974022060152,0.8982279549153155,0.006599963835814598,0.017901271773853294,9685.0,0.19299364326564766,0.12301536898259875,7.0,-300.0
318,318,20582,92025,62,278,62,6950,2013,33143.0,79233.0,50888.0,1998.0,25095.0,6.7577000000000025,0.36345966958211856,0.13072835813360595,0.8908045977011494,0.014030111939172677,0.015749932112361583,0.8961469993663821,0.006939625260235947,0.018827505053857527,9747.0,0.1915382801446313,0.1230169247661959,-6.0,80.0
319,319,25890,92025,62,284,62,6870,2014,33854.0,79267.0,51340.0,2069.0,25319.0,6.8189,0.3674543000239696,0.13096244338753832,0.8867595818815331,0.015035150942281562,0.01695516039463579,0.8971761091746914,0.005878182784899864,0.017280085071188042,9613.0,0.18724191663420334,0.12127367000138772,-1.0,-430.0
320,320,31198,92025,62,285,62,7300,2015,35684.0,81249.0,52775.0,2124.0,25575.0,6.63,0.368029144974092,0.13280163448165516,0.9060402684563761,0.01891604080260061,0.020877704293240668,0.8831409034861563,0.002998542764264096,0.02059746665172066,10041.0,0.19026054002842246,0.12358305948380904,-5.0,-210.0
321,321,36506,92025,62,290,62,7510,2016,37093.0,83507.0,53962.0,2148.0,25724.0,6.611999999999999,0.3697654088878777,0.13792855688744654,0.9361207897793264,0.02172916722831801,0.02321192677863748,0.86296605828593,0.004556115709163454,0.02404766397972664,9989.0,0.18511174530224966,0.11961871459877615,-18.0,1420.0
322,322,41814,92025,62,308,62,6090,2017,37601.0,82715.0,54146.0,2124.0,25729.0,6.4763,0.36859094481049387,0.14274315420419512,0.9738562091503268,0.023775963405228584,0.024414244302013246,0.8705087630648121,0.003031834259727135,0.019813302837690488,10038.0,0.1853876555978281,0.12135646497007795,0.0,0.0
323,323,4659,92026,23,94,23,1250,2010,44377.0,98898.0,64057.0,2292.0,32826.0,7.535000000000001,0.38126150174927703,0.13100366033691274,0.8743315508021391,0.014737363949793813,0.01685557834013115,0.8873290217905672,0.003898415846046376,0.02077652838181941,11318.0,0.17668638868507736,0.1144411413779854,-7.0,120.0
324,324,9967,92026,23,101,23,1130,2011,43662.0,100549.0,64909.0,2332.0,33134.0,7.774999999999999,0.37520015117007627,0.12518274672050442,0.8150134048257373,0.01392515230635335,0.017085795428519082,0.8954239384361687,0.003779029819980762,0.023086436718427927,11510.0,0.1773251783265803,0.11447155118399985,-3.0,-30.0
325,325,15275,92026,23,104,23,1160,2012,41890.0,100032.0,64992.0,2445.0,32800.0,7.9122,0.3691118841970569,0.13139795265515036,0.7810650887573964,0.012604440200525185,0.016137502984005733,0.8981618524707567,0.004631176891859632,0.020124134638338502,11442.0,0.17605243722304284,0.11438339731285987,9.0,-30.0
326,326,20583,92026,23,95,62,1190,2013,42354.0,102397.0,66630.0,2498.0,32914.0,7.925500000000001,0.374512925183355,0.1307069543053019,0.7801556420233463,0.009467818860084055,0.012135807715918214,0.9118147046323842,0.004297114794352364,0.016527364593662938,11723.0,0.1759417679723848,0.1144857759504673,-14.0,-40.0
327,327,25891,92026,23,109,62,1230,2014,43240.0,103516.0,68041.0,2615.0,33045.0,8.208300000000001,0.3810039027783145,0.13448162602882646,0.792156862745098,0.009343200740055504,0.011794634597594821,0.9061979648473636,0.0029602220166512487,0.015402405180388531,11520.0,0.16930968092767595,0.11128714401638394,-5.0,-220.0
328,328,31199,92026,23,114,23,1450,2015,44473.0,104995.0,69272.0,2722.0,33212.0,8.073600000000003,0.3762845849802372,0.13952092956807466,0.8214285714285714,0.012929192993501676,0.015739887122523773,0.8987475546961078,0.003845029568502237,0.016999078092325686,12096.0,0.1746160064672595,0.11520548597552265,2.0,-20.0
329,329,36507,92026,23,112,23,1470,2016,45736.0,105227.0,69319.0,2748.0,33206.0,7.9239,0.376842445379988,0.14444011517956418,0.8831521739130435,0.01421199930033234,0.016092356130837853,0.887768934755991,0.004416652090257128,0.015327094630050725,12504.0,0.1803834446544237,0.11882881769887955,-9.0,140.0
330,330,41815,92026,23,121,23,1330,2017,47967.0,106013.0,70099.0,2680.0,33361.0,7.761399999999999,0.38275494514823655,0.13836038976351958,0.927355278093076,0.017032543206788,0.0183667938374299,0.888902787332958,0.004461400546208852,0.013676068964079472,12712.0,0.18134352843835147,0.11990982238027413,0.0,0.0
331,331,4660,92027,23,78,44,1710,2010,39015.0,87862.0,55154.0,1911.0,26569.0,6.505000000000001,0.4025517288475109,0.10860212606132344,0.9391480730223124,0.023734461104703317,0.025272331154684097,0.8900422914263745,0.005126233499935922,0.017019095219787263,9658.0,0.17510969285999206,0.1099223782750222,2.0,-80.0
332,332,9968,92027,23,76,44,1790,2011,39657.0,88817.0,55512.0,1974.0,26892.0,6.5343,0.3990339687222041,0.09725615591609714,0.8995535714285714,0.02032428070706306,0.022593741331921224,0.9002698136520665,0.007186625312050836,0.015961873061502384,9501.0,0.1711521833117164,0.1069727642230654,-7.0,890.0
333,333,15276,92027,23,83,62,900,2012,38258.0,88724.0,55582.0,2048.0,26458.0,6.7472,0.3934786529011316,0.09789910283576034,0.8967468175388967,0.016571697422761253,0.018479795075539755,0.9156516284175858,0.0063777510586021215,0.015290919546238697,9127.0,0.16420783706955489,0.10286957305802263,-8.0,-10.0
334,334,20584,92027,23,91,23,910,2013,37724.0,89485.0,56450.0,2096.0,26385.0,6.925700000000001,0.3976197128010281,0.098541655025982,0.8698752228163993,0.012936061923443959,0.014871169547237831,0.9155444809670236,0.00781995546601633,0.012617962040080585,8534.0,0.1511780336581045,0.09536793876068617,-4.0,-120.0
335,335,25892,92027,23,95,23,1030,2014,39144.0,90808.0,57556.0,2177.0,26476.0,6.9083000000000006,0.4021011364637477,0.09689674918509382,0.8612099644128114,0.012364602493357859,0.014357245043940325,0.9140353566319231,0.009605558961782137,0.013258736971183323,8621.0,0.14978455764820348,0.09493656946524537,-5.0,-50.0
336,336,31200,92027,23,100,23,1080,2015,40080.0,91123.0,58067.0,2236.0,26601.0,6.9662000000000015,0.3982309625451313,0.10173062783270964,0.8867924528301887,0.016417165668662675,0.01851297405189621,0.9021706586826348,0.007709580838323353,0.01586826347305389,8722.0,0.15020579675202786,0.09571677842037683,-12.0,-630.0
337,337,36508,92027,23,112,71,1710,2016,40821.0,90706.0,58421.0,2194.0,26541.0,6.852400000000001,0.3936013053160761,0.11452384627257292,0.9269972451790632,0.01648661228289361,0.017784963621665317,0.8864310036500821,0.007251169741064648,0.016364126307537787,9032.0,0.1546019410828298,0.0995744493197804,-1.0,580.0
338,338,41816,92027,23,113,23,1130,2017,42592.0,91475.0,59371.0,2152.0,26444.0,6.7731,0.399934408308281,0.1105110685979776,0.941034897713598,0.018360255447032302,0.019510706235912847,0.8869036438767843,0.006902704733283246,0.015096731780616076,9082.0,0.15297030536794054,0.09928395736540037,0.0,0.0
339,339,4661,92028,23,138,62,1750,2010,52076.0,101147.0,50333.0,2032.0,27518.0,4.771999999999999,0.38592345793745736,0.09376452094476356,0.5820512820512821,0.004359013749135879,0.007489054458867808,0.7299331745909824,0.004455027267839312,0.15177817036638758,8306.0,0.16502096040371128,0.08211810533184376,5.0,0.0
340,340,9969,92028,23,133,62,1750,2011,48397.0,99820.0,51418.0,2011.0,27964.0,4.8686,0.3786415547986376,0.1015928671608896,0.4302600472813239,0.00376056367130194,0.00874021117011385,0.7301279004896998,0.0041738124263900655,0.1359381779862388,8673.0,0.16867633902524407,0.08688639551192145,-9.0,-70.0
341,341,15277,92028,23,142,23,1820,2012,48869.0,102737.0,53178.0,2068.0,28321.0,4.9088,0.3775660180850132,0.10584307503625763,0.4696629213483146,0.004276739855532136,0.009105977204362684,0.7014467249176369,0.00454275716712026,0.1487446029180053,9450.0,0.17770506600473882,0.09198244060075728,4.0,40.0
342,342,20585,92028,23,138,62,1780,2013,48623.0,102112.0,53644.0,2063.0,28463.0,5.1297,0.3882599498589784,0.10686305233469133,0.6267123287671232,0.003763650947082657,0.006005388396437899,0.6953088044752483,0.002858729407893384,0.16714312156798222,9731.0,0.18139959734546268,0.095297320589157,-2.0,-180.0
