,vehicleCount_sum,assetUid,latitude,longitude,time
42,1035,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 15:00:00 2020
43,938,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 14:00:00 2020
44,868,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 13:00:00 2020
45,907,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 12:00:00 2020
46,1386,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 11:00:00 2020
47,1174,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 10:00:00 2020
48,485,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 09:00:00 2020
49,196,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 08:00:00 2020
50,73,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 07:00:00 2020
51,40,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 06:00:00 2020
52,57,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 05:00:00 2020
53,41,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 04:00:00 2020
54,101,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 03:00:00 2020
55,185,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 02:00:00 2020
56,275,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 01:00:00 2020
57,459,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Wed Jan 29 00:00:00 2020
58,627,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Tue Jan 28 23:00:00 2020
59,781,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Tue Jan 28 22:00:00 2020
60,1054,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Tue Jan 28 21:00:00 2020
61,1489,01ec53e2-8464-4d0b-b0d4-76e1904d9af7,45.505296,-122.600155,Tue Jan 28 20:00:00 2020
