,zipcode,geo_id,year,pop,households,income,edut,total_college,college_ratio,ratio_65,ratio_22_50,college_ratio_pop,bus_ratio,bus_ratio_total,public_ratio,car_ratio,bicy_ratio,walked_ratio,maxNaics_est,maxNaics_emp,Empratio,estabratio,emp_label,est_label
3434,97214,41051001301,2017,4183.0,182.0,1921.0,3211.0,1297.0,0.4039240112114606,0.6351900549844609,0.08940951470236673,0.31006454697585467,1.0,0.11723656664340545,0.11723656664340545,0.5010467550593162,0.2002791346824843,0.04152128401953943,54,72,1395.536366655596,87.3995350381933,High,High
3435,97214,41051001302,2017,3381.0,140.0,1361.0,2423.0,901.0,0.37185307470078416,0.5350488021295474,0.07956225968648327,0.26648920437740314,0.9370629370629372,0.06767676767676767,0.07222222222222223,0.5560606060606059,0.12676767676767678,0.08434343434343435,54,72,819.4719362338094,51.321819993357686,Medium High,Medium High
3436,97214,41051001400,2017,5549.0,141.0,2469.0,4419.0,1675.0,0.37904503281285357,0.6150657776175887,0.06902144530546045,0.3018561903045594,1.0,0.16156462585034015,0.16156462585034015,0.5691609977324263,0.15051020408163265,0.032879818594104306,54,72,478.70142809697785,29.98007306542677,Medium Low,Medium High
3437,97214,41051001900,2017,4972.0,205.0,1942.0,3514.0,1251.0,0.3560045532157086,0.3602172164119067,0.1500402252614642,0.251609010458568,0.4884792626728111,0.04418507711546478,0.09045435598165902,0.6502709462275948,0.09045435598165902,0.05794080867027927,54,72,16.227167054134842,1.0162736632348055,Low,Low
3438,97214,41051002000,2017,6355.0,188.0,3308.0,5470.0,2484.0,0.4541133455210238,0.7038552321007081,0.07317073170731707,0.3908733280881196,0.9054842473745623,0.17830882352941174,0.19692095588235287,0.4731158088235294,0.12775735294117646,0.08915441176470587,54,72,1492.8993689804056,93.49717701760211,High,High
3439,97214,41051002100,2017,2417.0,145.0,1408.0,1987.0,810.0,0.4076497232008052,0.7149358709143566,0.09143566404633843,0.3351261894911047,0.8884297520661157,0.2567164179104477,0.28895522388059697,0.4340298507462687,0.14029850746268654,0.09074626865671642,54,72,4722.105612753238,295.7356360013285,High,High
3489,97215,41051001400,2017,5549.0,141.0,2469.0,4419.0,1675.0,0.37904503281285357,0.6150657776175887,0.06902144530546045,0.3018561903045594,1.0,0.16156462585034015,0.16156462585034015,0.5691609977324263,0.15051020408163265,0.032879818594104306,62,62,1597.9296066252589,133.04347826086956,High,High
3490,97215,41051001500,2017,3532.0,137.0,1384.0,2625.0,818.0,0.31161904761904763,0.489524348810872,0.12032842582106455,0.23159682899207248,1.0,0.09637939826619073,0.09637939826619073,0.6211116777154513,0.14992350841407445,0.026007139214686385,62,62,291.38716356107665,24.260869565217394,Medium Low,Medium Low
3491,97215,41051001601,2017,5818.0,148.0,2544.0,4529.0,1293.0,0.28549348642084343,0.36902715709865935,0.2071158473702303,0.2222413200412513,0.7327327327327328,0.08319127173542447,0.11353562904875555,0.6760995567678145,0.03682236617797477,0.04125468803273099,62,62,827.1635610766043,68.8695652173913,Medium High,Medium High
3492,97215,41051001701,2017,7031.0,155.0,2863.0,5238.0,1903.0,0.36330660557464683,0.5434504337932016,0.0826340492106386,0.27065851230265964,0.8029315960912052,0.11794258373205742,0.14688995215311004,0.7074162679425837,0.08397129186602871,0.030622009569377988,62,62,648.5714285714286,54.0,Medium High,Medium High
3493,97215,41051001801,2017,4636.0,162.0,2113.0,3748.0,1191.0,0.31776947705442904,0.5455133735979293,0.12057808455565144,0.2569025021570319,0.3821510297482837,0.06278195488721805,0.16428571428571428,0.649624060150376,0.0849624060150376,0.04962406015037594,62,62,140.99378881987582,11.73913043478261,Low,Medium Low
3494,97215,41051001802,2017,3696.0,167.0,1682.0,2919.0,1101.0,0.3771839671120247,0.43533549783549785,0.14015151515151514,0.29788961038961037,1.0,0.10194404931247036,0.10194404931247036,0.6998577524893315,0.07112375533428165,0.023233760075865337,62,62,1033.9544513457556,86.08695652173913,Medium High,High
3495,97215,41051001900,2017,4972.0,205.0,1942.0,3514.0,1251.0,0.3560045532157086,0.3602172164119067,0.1500402252614642,0.251609010458568,0.4884792626728111,0.04418507711546478,0.09045435598165902,0.6502709462275948,0.09045435598165902,0.05794080867027927,62,62,0.0,0.0,Low,Low
3552,97216,41051001601,2017,5818.0,148.0,2544.0,4529.0,1293.0,0.28549348642084343,0.36902715709865935,0.2071158473702303,0.2222413200412513,0.7327327327327328,0.08319127173542447,0.11353562904875555,0.6760995567678145,0.03682236617797477,0.04125468803273099,62,62,357.5537634408602,23.87903225806452,Medium Low,Medium Low
3553,97216,41051001602,2017,4682.0,140.0,1714.0,3691.0,865.0,0.2343538336494175,0.4908158906450235,0.10529688167449808,0.18475010679196924,0.6308139534883721,0.09986194201564658,0.15830648872526462,0.6810860561435803,0.07501150483202945,0.017947537965945698,62,62,821.6129032258065,54.8709677419355,Medium High,Medium High
3554,97216,41051001701,2017,7031.0,155.0,2863.0,5238.0,1903.0,0.36330660557464683,0.5434504337932016,0.0826340492106386,0.27065851230265964,0.8029315960912052,0.11794258373205742,0.14688995215311004,0.7074162679425837,0.08397129186602871,0.030622009569377988,62,62,30.430107526881727,2.032258064516129,Low,Low
3555,97216,41051001702,2017,4157.0,137.0,1527.0,2955.0,680.0,0.23011844331641285,0.4457541496271349,0.1039210969449122,0.16357950445032476,0.5444444444444444,0.07212953876349362,0.1324828263002944,0.7144259077526988,0.03532875368007851,0.0534838076545633,62,62,502.09677419354836,33.53225806451613,Medium Low,Medium High
3556,97216,41051008100,2017,7553.0,148.0,3037.0,5278.0,849.0,0.16085638499431604,0.4178472130279359,0.15305176750959884,0.1124056666225341,0.5276872964169381,0.09619952494061758,0.1823040380047506,0.6383610451306413,0.04928741092636578,0.06680522565320665,62,62,121.72043010752691,8.129032258064516,Low,Low
3557,97216,41051008201,2017,2949.0,125.0,1320.0,2164.0,415.0,0.19177449168207025,0.3343506273312987,0.2617836554764327,0.14072566971854866,0.6126760563380281,0.06610942249240123,0.10790273556231003,0.7963525835866262,0.0,0.02963525835866261,62,62,2548.521505376344,170.2016129032258,High,High
3558,97216,41051008202,2017,9156.0,162.0,3194.0,5874.0,877.0,0.14930200885257064,0.4702927042376584,0.11598951507208388,0.09578418523372652,0.6198757763975156,0.12339268051434225,0.1990603363006924,0.6389713155291791,0.03041543026706232,0.004698318496538081,62,62,1270.456989247312,84.84677419354837,High,High
3559,97216,41051008301,2017,4262.0,141.0,1690.0,3124.0,515.0,0.16485275288092188,0.4059127170342561,0.16072266541529798,0.12083528859690286,0.8333333333333334,0.14755959137343927,0.17707150964812712,0.7656072644721907,0.00851305334846765,0.010783200908059024,62,62,7.607526881720432,0.5080645161290323,Low,Low
3658,97217,41051003401,2017,3828.0,116.0,1536.0,2578.0,986.0,0.382467028704422,0.5919540229885057,0.04806687565308255,0.25757575757575757,0.9556135770234988,0.14704700683005226,0.1538770590598634,0.4644435516271595,0.1984732824427481,0.04017677782241864,72,72,722.4065934065933,47.3010989010989,Medium High,Medium High
3659,97217,41051003402,2017,3962.0,135.0,1699.0,2964.0,1247.0,0.4207152496626181,0.6797072185764765,0.05224634023220597,0.31474003028773345,0.8622222222222222,0.0759592795614722,0.08809710258418167,0.5814408770555991,0.1601409553641347,0.07204385277995301,72,72,177.06043956043956,11.593406593406591,Medium Low,Medium Low
3660,97217,41051003501,2017,3644.0,169.0,1581.0,2874.0,1097.0,0.3816979819067502,0.5773874862788145,0.10482985729967068,0.3010428100987925,0.4621513944223107,0.05173951828724353,0.11195361284567353,0.6449598572702944,0.11016949152542373,0.033006244424620884,72,72,892.3846153846155,58.43076923076924,Medium High,Medium High
3661,97217,41051003502,2017,2426.0,154.0,978.0,1937.0,666.0,0.34383066597831696,0.5539983511953833,0.0964550700741962,0.2745259686727123,0.4011627906976744,0.04627766599597585,0.1153588195841717,0.5841716968477532,0.15895372233400398,0.056338028169014086,72,72,226.63736263736263,14.83956043956044,Medium Low,Medium Low
3662,97217,41051003701,2017,4388.0,161.0,1890.0,3397.0,968.0,0.28495731527818663,0.4872379216043756,0.14061075660893346,0.22060164083865086,0.6859205776173285,0.08381120423467138,0.12218791354212614,0.737097485663873,0.04764005293339215,0.02867225408028232,72,72,297.46153846153845,19.47692307692308,Medium Low,Medium Low
3663,97217,41051003702,2017,2602.0,157.0,1034.0,2152.0,884.0,0.4107806691449814,0.5937740199846272,0.09223674096848578,0.33973866256725593,0.9308510638297872,0.10978670012547052,0.11794228356336264,0.6116687578419071,0.20577164366373896,0.020075282308657464,72,72,177.06043956043956,11.593406593406591,Medium Low,Medium Low
3664,97217,41051003801,2017,3140.0,125.0,1375.0,2453.0,686.0,0.2796575621687729,0.5477707006369427,0.08248407643312101,0.21847133757961784,0.4806451612903226,0.08328675237562884,0.1732811626607043,0.6243711570709893,0.09502515371716044,0.020122973728339856,72,72,2599.2472527472532,170.19120879120882,High,High
3665,97217,41051003802,2017,3518.0,122.0,1457.0,2582.0,751.0,0.29085979860573197,0.5767481523592951,0.07333712336554861,0.21347356452529848,0.6878612716763006,0.10735227785295444,0.15606675687866484,0.5791610284167794,0.15516463689670726,0.035182679296346414,72,72,545.3461538461539,35.70769230769231,Medium High,Medium High
3666,97217,41051003803,2017,4506.0,177.0,1729.0,3460.0,1221.0,0.35289017341040463,0.5594762538837106,0.06746560142032845,0.27097203728362185,0.4891089108910891,0.10032493907392363,0.2051177904142973,0.5349309504467912,0.14012997562956944,0.05645816409423233,72,72,488.68681318681314,31.997802197802194,Medium Low,Medium High
3667,97217,41051003901,2017,7963.0,146.0,2916.0,5593.0,1171.0,0.20936885392454854,0.4944116538992842,0.07798568378751727,0.14705512997613965,0.9497991967871486,0.11533772250670568,0.12143379663496708,0.7393318702755426,0.058034625701048524,0.020238966105827847,72,72,311.62637362637366,20.40439560439561,Medium Low,Medium Low
3668,97217,41051003902,2017,3401.0,125.0,1313.0,2542.0,933.0,0.36703383162863884,0.4630990885033814,0.10173478388709203,0.274331079094384,0.8651685393258427,0.08050182958703607,0.0930475692629378,0.6894929430214323,0.07266074228959749,0.026136957658128592,72,72,594.9230769230769,38.95384615384616,Medium High,Medium High
3669,97217,41051007201,2017,2262.0,118.0,1222.0,1930.0,426.0,0.22072538860103627,0.268788682581786,0.26746242263483644,0.1883289124668435,0.40425531914893614,0.016129032258064516,0.039898132427843805,0.7470288624787776,0.0,0.07724957555178268,72,72,2004.324175824176,131.23736263736262,High,High
3670,97217,41051007202,2017,3448.0,106.0,1281.0,2597.0,506.0,0.19484020023103582,0.4286542923433875,0.14211136890951276,0.14675174013921113,0.8127853881278538,0.09090909090909093,0.1118488253319714,0.7870275791624106,0.004596527068437181,0.007150153217568948,72,72,2323.032967032967,152.1054945054945,High,High
3671,97217,41051980000,2017,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,72,72,1529.8021978021975,100.16703296703295,High,High
3896,97218,41051002701,2017,3211.0,126.0,1211.0,2350.0,956.0,0.40680851063829787,0.38679539084397385,0.11834319526627216,0.29772656493304267,0.7763157894736842,0.03537170263788969,0.045563549160671464,0.6984412470023981,0.053357314148681056,0.0605515587529976,42,72,460.848623853211,25.892201834862384,Medium Low,Medium Low
3900,97218,41051002901,2017,4432.0,172.0,1997.0,3559.0,1012.0,0.28434953638662547,0.4713447653429602,0.13492779783393502,0.2283393501805054,0.8021978021978022,0.05407407407407407,0.0674074074074074,0.7914814814814815,0.02962962962962963,0.017037037037037038,42,72,51.926605504587144,2.9174311926605507,Low,Low
