,zipcode,geo_id,year,maxNaics_est,y_pred,Naics_score,pedestrian_scaled,vehicle_scaled,sentiment_score,ratings,centroid,geometry,estabratio,final_score
171,97229,41051007000,2017,54,54,10,2.791274366794854,2.8132729408915518,2.005,5.0,POINT (-122.7869655707251 45.56001722609412),"MULTIPOLYGON (((-122.8674945928168 45.60622027113011, -122.8674005962108 45.6067892721823, -122.8642256025908 45.60833827926067, -122.8614405977072 45.6079842827486, -122.8519965744506 45.60566529321672, -122.847582562447 45.60438129804771, -122.8437265644447 45.6053293050477, -122.8416635697338 45.6065423096365, -122.8374745649112 45.60641531564522, -122.8364815668823 45.60690631768804, -122.835514569256 45.60746131975441, -122.833371556315 45.60564032080291, -122.8327745431456 45.60352631929523, -122.8326995249482 45.60048331596708, -122.8321265199975 45.59974231602502, -122.8274825167433 45.59992732348273, -122.8264505119115 45.59927532441215, -122.8264514997991 45.59723132227353, -122.8254744943005 45.59645532303383, -122.8201274848065 45.59568033089187, -122.8188484759005 45.59436733172659, -122.8135554575219 45.59205533838265, -122.8120844439405 45.58996233906039, -122.8108534409265 45.58963434087694, -122.8099034385746 45.58937634228239, -122.805771427296 45.58806934833235, -122.8051324158622 45.58620234802588, -122.7994483922716 45.58298635579146, -122.79816437747 45.58061935653433, -122.7964403699447 45.57956935901409, -122.7942383516983 45.57672736134538, -122.7944323317176 45.57323735886029, -122.7911343252127 45.57257036483747, -122.7898433125434 45.57054736623358, -122.7905402975325 45.56784136336517, -122.7896222845431 45.56570636404422, -122.7847092797602 45.56553337393122, -122.7653212417441 45.56143641245938, -122.7631092429424 45.56194541716824, -122.7622412381276 45.56120441885012, -122.7604272400632 45.56179242272649, -122.7596622350277 45.56099642421453, -122.7602552315145 45.56029042287405, -122.7636852266289 45.55896641541227, -122.7605932223806 45.55861642192064, -122.7602842156897 45.55746342241542, -122.7577072172709 45.55808342800034, -122.7558142126577 45.55750643199294, -122.7571891973237 45.55458342876129, -122.7548842045731 45.55617943389568, -122.752815205405 45.55659843837965, -122.7531791856088 45.5529974374391, -122.7521811886793 45.55367643965788, -122.7495232067348 45.55736944622308, -122.7459542021562 45.55776545956572, -122.7442521967677 45.55737746591918, -122.7413631789165 45.55515247663634, -122.7398361752043 45.55500648232243, -122.7353991371528 45.54967649854288, -122.7334801305934 45.5491525056183, -122.7330651242521 45.54815350708635, -122.7353321257211 45.54764249866982, -122.7336991196269 45.54710450467152, -122.7349951092076 45.54478649974148, -122.7320971109958 45.54609951051761, -122.7290061074377 45.54651652196156, -122.7267120887625 45.54394153018836, -122.7271510842718 45.54298352848292, -122.7262170701436 45.54076153170342, -122.7267120575267 45.53832252965623, -122.7239130603415 45.53978654005364, -122.7196810406887 45.53769955530726, -122.7182450270202 45.53573256030423, -122.7182690132543 45.53324855989614, -122.713596009517 45.53417557703639, -122.7136870234144 45.53664357706938, -122.7119600133499 45.53542458318847, -122.712490003264 45.53342958095102, -122.7135209984638 45.53221357701852, -122.715295999534 45.53179857050896, -122.7168199956729 45.5305825648087, -122.7149819896112 45.53012157141082, -122.7149589711782 45.52681457102297, -122.7196069779089 45.52643355418545, -122.7197189589067 45.52297755335545, -122.7187469498275 45.52167755668632, -122.7208909469945 45.52043354883887, -122.7226709425572 45.51902554229851, -122.7269599550191 45.5197975270131, -122.7317319579729 45.51869350982889, -122.7371589730632 45.51954849044826, -122.74131697396 45.51828447550614, -122.7438579697715 45.51665946637458, -122.7438609855798 45.51950346643486, -122.7644630054956 45.51955640596648, -122.7644850458728 45.52673140732934, -122.7644760519827 45.52781840756761, -122.7644580621546 45.52962840797136, -122.7644570626772 45.52972140799228, -122.7644410698177 45.53099240828364, -122.7644380708623 45.53117840832788, -122.7644110856858 45.53381640891534, -122.7650750862984 45.53385240728583, -122.7660890868907 45.53384640478526, -122.7721490904231 45.53380938983717, -122.7751130922131 45.5338023825275, -122.7811450965927 45.53391736770499, -122.7823390974617 45.53394036477331, -122.7842310988368 45.53397636012912, -122.7848630992962 45.5339883585782, -122.784767146896 45.54231436277341, -122.7847681563931 45.54397336355989, -122.7847691631425 45.54515236411817, -122.7847701817009 45.54839436565749, -122.7848011817165 45.54839336558675, -122.7951101890056 45.54842734224863, -122.79269819263 45.54934434824831, -122.7959132106428 45.5520763427207, -122.7960562316228 45.55568934467955, -122.803131236706 45.5556833293499, -122.8045842406263 45.55617632657043, -122.8047612378792 45.55568232581824, -122.805431238358 45.55568132436612, -122.8054802804702 45.56290532974107, -122.8261862969435 45.56303528706821, -122.826209316176 45.5662782904006, -122.8262213267262 45.56805729223073, -122.8263413828657 45.57751530186543, -122.8469773999474 45.57751026331828, -122.846904420988 45.58101226809558, -122.8468484861209 45.59183028252554, -122.8675915050186 45.59187224791349, -122.8674945928168 45.60622027113011)))",1.0831196307324633,7.290051365667344
247,97214,41051002100,2017,54,54,10,2.791274366794854,2.8132729408915518,1.4313164893617016,4.49468085106383,POINT (-122.6559250589185 45.52371962660893),"MULTIPOLYGON (((-122.6690018881706 45.5276207373036, -122.6672948877827 45.52813474364844, -122.6653458786047 45.52715275036141, -122.6633208665586 45.5256817571608, -122.6616958632864 45.52564976301196, -122.6567168666267 45.52795178184778, -122.653572865994 45.52891279359655, -122.6506498661839 45.52994580459789, -122.6448458561283 45.53012382571428, -122.644847855731 45.53005182567624, -122.6454488525241 45.52927082316521, -122.6454498338802 45.52592382173857, -122.6454908209558 45.52358982059866, -122.6455247972051 45.51931481866, -122.6495708049626 45.51932380417131, -122.6536288127708 45.51933778964129, -122.6577398206745 45.51935077492058, -122.6652968352149 45.51937674786, -122.6652898234809 45.51727174715995, -122.6686518316401 45.51758673524972, -122.6670918589341 45.52302274265931, -122.6677838810637 45.52676074141996, -122.6690018881706 45.5276207373036)))",1.9915360564354398,7.237563293706885
158,97209,41051005000,2017,54,54,10,2.791274366794854,2.8132729408915518,1.0784525862068959,4.474137931034483,POINT (-122.6875951011191 45.53007503443492),"MULTIPOLYGON (((-122.6947609814063 45.53556464595182, -122.6943969830339 45.53598164737397, -122.6859319649592 45.53562767817628, -122.6855289488887 45.53287767892554, -122.6835179452789 45.5329166862502, -122.6832619090734 45.5264986854395, -122.6828058917093 45.52353468627625, -122.6831438889637 45.5229256848942, -122.6859298940579 45.5228876748642, -122.6865608952151 45.52287967259279, -122.6882148985486 45.52291266665264, -122.688222902103 45.52354866678365, -122.688306914199 45.52569366701945, -122.6893739240598 45.52710066351678, -122.6894569360756 45.52923166374151, -122.6904939419501 45.5299326601549, -122.6905999580211 45.53278466045955, -122.6946569653242 45.53270964568866, -122.6947609814063 45.53556464595182)))",2.2537409915820232,7.203347328156865
48,97219,41051006404,2017,54,54,10,2.791274366794854,2.8132729408915518,1.6938888888888892,5.0,POINT (-122.7281880767364 45.43809762443723),"MULTIPOLYGON (((-122.7437164778223 45.43507338377173, -122.7437114980886 45.43837138798649, -122.7437015261481 45.44293839383261, -122.7407105259622 45.4436204035633, -122.7384405300882 45.44484041190452, -122.7368235296311 45.44515641713775, -122.7332295295301 45.44601442901829, -122.7311945339708 45.44724743681279, -122.7310895329735 45.4471084369337, -122.7310775223722 45.4453584345289, -122.7310635008948 45.44181042962165, -122.7270624950892 45.44180944140534, -122.7270614907983 45.4410964403864, -122.712801470326 45.44111648232364, -122.7128194650563 45.44021948086266, -122.7102254612228 45.44020148843514, -122.7096474603158 45.44018849010794, -122.7080674469405 45.43829549167954, -122.7102264444976 45.43735848389871, -122.710226444374 45.43733748386522, -122.7088464400145 45.43692748721168, -122.7089294282853 45.43491048372967, -122.7102864280016 45.43454047923253, -122.7112004282962 45.43437447634085, -122.7123324241301 45.43340147155528, -122.7149234257072 45.43306246360694, -122.715936427171 45.433073460725, -122.7192844319962 45.43310745119501, -122.7213534349849 45.43312944530604, -122.7216614354222 45.43313144442741, -122.7255394409586 45.43316143337069, -122.7302984479739 45.4332344198498, -122.7334204520398 45.43319341085423, -122.7385284593356 45.43323239628197, -122.7437194668537 45.43328838148985, -122.7437164778223 45.43507338377173)))",1.0654490286100653,7.188887761595495
47,97035,41051006404,2017,54,54,10,2.791274366794854,2.8132729408915518,1.6938888888888892,5.0,POINT (-122.7281880767364 45.43809762443723),"MULTIPOLYGON (((-122.7437164778223 45.43507338377173, -122.7437114980886 45.43837138798649, -122.7437015261481 45.44293839383261, -122.7407105259622 45.4436204035633, -122.7384405300882 45.44484041190452, -122.7368235296311 45.44515641713775, -122.7332295295301 45.44601442901829, -122.7311945339708 45.44724743681279, -122.7310895329735 45.4471084369337, -122.7310775223722 45.4453584345289, -122.7310635008948 45.44181042962165, -122.7270624950892 45.44180944140534, -122.7270614907983 45.4410964403864, -122.712801470326 45.44111648232364, -122.7128194650563 45.44021948086266, -122.7102254612228 45.44020148843514, -122.7096474603158 45.44018849010794, -122.7080674469405 45.43829549167954, -122.7102264444976 45.43735848389871, -122.710226444374 45.43733748386522, -122.7088464400145 45.43692748721168, -122.7089294282853 45.43491048372967, -122.7102864280016 45.43454047923253, -122.7112004282962 45.43437447634085, -122.7123324241301 45.43340147155528, -122.7149234257072 45.43306246360694, -122.715936427171 45.433073460725, -122.7192844319962 45.43310745119501, -122.7213534349849 45.43312944530604, -122.7216614354222 45.43313144442741, -122.7255394409586 45.43316143337069, -122.7302984479739 45.4332344198498, -122.7334204520398 45.43319341085423, -122.7385284593356 45.43323239628197, -122.7437194668537 45.43328838148985, -122.7437164778223 45.43507338377173)))",1.034171999957081,7.179264060471501
278,97219,41051006501,2017,54,54,10,2.791274366794854,2.8132729408915518,1.6827083333333337,5.0,POINT (-122.7341174641992 45.45711100082339),"MULTIPOLYGON (((-122.7436835407147 45.44531239691001, -122.7436715527816 45.44727839945041, -122.7436655565775 45.44789740025704, -122.7436475995095 45.45488640921663, -122.7436576105461 45.45667941147042, -122.7436636195605 45.4581444133184, -122.7436706656851 45.46564642285422, -122.7436616772263 45.46752642527807, -122.7322006580678 45.46748946181122, -122.7231676429318 45.46745349058907, -122.7231536156398 45.4628974839333, -122.7236436125446 45.4622484814395, -122.7245256072254 45.46112447703045, -122.7253296048938 45.46052147363912, -122.72452260219 45.46028547581695, -122.7225055956777 45.45973448130157, -122.7202935742709 45.45673448370288, -122.7204085619692 45.45464148021447, -122.7209715573337 45.45371847711013, -122.7233855611371 45.45373146974309, -122.7247715615909 45.45345046509327, -122.727415558004 45.45217745519004, -122.7311945339708 45.44724743681279, -122.7332295295301 45.44601442901829, -122.7368235296311 45.44515641713775, -122.7384405300882 45.44484041190452, -122.7407105259622 45.4436204035633, -122.7437015261481 45.44293839383261, -122.7436835407147 45.44531239691001)))",1.0327245143050328,7.1753785093307
279,97223,41051006501,2017,54,54,10,2.791274366794854,2.8132729408915518,1.6827083333333337,5.0,POINT (-122.7341174641992 45.45711100082339),"MULTIPOLYGON (((-122.7436835407147 45.44531239691001, -122.7436715527816 45.44727839945041, -122.7436655565775 45.44789740025704, -122.7436475995095 45.45488640921663, -122.7436576105461 45.45667941147042, -122.7436636195605 45.4581444133184, -122.7436706656851 45.46564642285422, -122.7436616772263 45.46752642527807, -122.7322006580678 45.46748946181122, -122.7231676429318 45.46745349058907, -122.7231536156398 45.4628974839333, -122.7236436125446 45.4622484814395, -122.7245256072254 45.46112447703045, -122.7253296048938 45.46052147363912, -122.72452260219 45.46028547581695, -122.7225055956777 45.45973448130157, -122.7202935742709 45.45673448370288, -122.7204085619692 45.45464148021447, -122.7209715573337 45.45371847711013, -122.7233855611371 45.45373146974309, -122.7247715615909 45.45345046509327, -122.727415558004 45.45217745519004, -122.7311945339708 45.44724743681279, -122.7332295295301 45.44601442901829, -122.7368235296311 45.44515641713775, -122.7384405300882 45.44484041190452, -122.7407105259622 45.4436204035633, -122.7437015261481 45.44293839383261, -122.7436835407147 45.44531239691001)))",1.0022213637897455,7.165992924556765
205,97212,41051002203,2017,54,54,10,2.791274366794854,2.8132729408915518,1.837115384615384,4.4230769230769225,POINT (-122.6670643942349 45.54400935005295),"MULTIPOLYGON (((-122.677929985887 45.54212270927307, -122.6767649924385 45.5436977140231, -122.6788040203661 45.54801870776846, -122.67803901786 45.54782971054262, -122.6755600131592 45.54783171971022, -122.6733010111255 45.54823772819034, -122.6712340073136 45.54825873584397, -122.6666839986488 45.54825575267617, -122.6615859890314 45.54826877154139, -122.658588983296 45.54826178262662, -122.6585669699277 45.54586878181825, -122.6575209642357 45.54520378542778, -122.657530955695 45.54366678481294, -122.6575409470095 45.54210378418845, -122.6575609297833 45.53900378294961, -122.661620935835 45.53870376797419, -122.6666929471361 45.53900074950749, -122.6666779583322 45.54101675024552, -122.6792279826836 45.5411037042101, -122.677929985887 45.54212270927307)))",1.4091928644508684,7.161209993793718
72,97201,41051005700,2017,54,54,10,2.791274366794854,2.8132729408915518,0.9176527777777778,4.055555555555555,POINT (-122.6745263853682 45.50646233926071),"MULTIPOLYGON (((-122.6820157877157 45.50511968402842, -122.681985794877 45.50641668449288, -122.681909803303 45.50795668518754, -122.68188580599 45.5084476854084, -122.6808538154878 45.51050768963857, -122.6797858246281 45.51251569399914, -122.6787408338018 45.51452169829464, -122.6747168199935 45.51341871229209, -122.673885820965 45.5138777153908, -122.6704158098259 45.51306472748016, -122.6685617796018 45.50827073248621, -122.6651137432614 45.50292474283632, -122.6651017335168 45.5011787422757, -122.6781287516699 45.49997569619286, -122.6809157618803 45.50085468670682, -122.6820277759787 45.50300668340207, -122.6820157877157 45.50511968402842)))",2.5521290732613684,7.116887604394188
70,97201,41051005500,2017,54,54,10,2.791274366794854,2.8132729408915518,1.6118750000000002,4.5,POINT (-122.6908276394522 45.51403217005209),"MULTIPOLYGON (((-122.6936248679184 45.51555564550878, -122.6925438773872 45.51762764984841, -122.6927388798396 45.51800164923836, -122.6903308729818 45.51759365775172, -122.6863058595203 45.51655267187107, -122.6870238534539 45.51521666896518, -122.6873958504399 45.5145476674686, -122.6881158444333 45.51322166456988, -122.6889068383229 45.51185266141609, -122.6883778222847 45.509151662618, -122.6935588459324 45.51162664484238, -122.6954918524932 45.51214363809359, -122.6936248679184 45.51555564550878)))",1.1303136853112994,7.029764920922371
