,zipcode,geo_id,year,pop,households,income,edut,total_college,college_ratio,ratio_65,ratio_22_50,college_ratio_pop,bus_ratio,bus_ratio_total,public_ratio,car_ratio,bicy_ratio,walked_ratio,maxNaics_est,maxNaics_emp,Empratio,estabratio,emp_label,est_label
4641,97233,41051009202,2013,5497.0,144.0,1656.0,3525.0,331.0,0.09390070921985816,0.4517009277787885,0.0891395306530835,0.060214662543205386,0.6497890295358649,0.060653800708940525,0.09334383615596692,0.8361559669161087,0.0,0.04214257581725089,62,62,652.9411764705882,46.11764705882353,Medium High,Medium High
4642,97233,41051009301,2013,6090.0,117.0,2128.0,4094.0,547.0,0.13361016121152908,0.4489326765188834,0.10279146141215106,0.08981937602627257,0.4,0.052905811623246486,0.13226452905811625,0.7306613226452906,0.02004008016032064,0.04248496993987976,62,62,284.61538461538464,20.102564102564106,Medium Low,Medium Low
4643,97233,41051009302,2013,4248.0,152.0,1647.0,2962.0,453.0,0.15293720459149224,0.4060734463276836,0.1530131826741996,0.10663841807909605,0.46296296296296297,0.025510204081632654,0.05510204081632653,0.8923469387755102,0.008673469387755102,0.013775510204081631,62,62,8.371040723981901,0.5912518853695324,Low,Low
4644,97233,41051009603,2013,3573.0,115.0,1181.0,2322.0,262.0,0.11283376399655469,0.4142177441925553,0.11950741673663587,0.07332773579624965,0.9520958083832336,0.10231660231660232,0.10746460746460748,0.8268983268983269,0.005148005148005148,0.0,62,62,100.45248868778282,7.09502262443439,Low,Low
4645,97233,41051009604,2013,5194.0,151.0,1840.0,3433.0,221.0,0.06437518205651034,0.4732383519445514,0.07797458606083943,0.04254909510974201,0.5709969788519638,0.08414959928762245,0.14737310774710596,0.7528940338379341,0.004897595725734639,0.05253784505788068,62,62,619.4570135746608,43.7526395173454,Medium High,Medium High
4646,97233,41051009606,2013,5567.0,129.0,1775.0,3342.0,461.0,0.13794135248354278,0.4302137596551105,0.08334830249685647,0.08280941261002335,0.5609756097560976,0.06972715461238631,0.12429623213512345,0.7557384148982244,0.01126028583802512,0.05456907752273712,62,62,376.69683257918547,26.60633484162896,Medium Low,Medium Low
4647,97233,41051009701,2013,5307.0,147.0,1955.0,3604.0,374.0,0.10377358490566038,0.3815715093273036,0.10212926323723384,0.07047296024119087,0.7380952380952381,0.078125,0.1058467741935484,0.7686491935483871,0.011592741935483871,0.04233870967741935,62,62,251.13122171945702,17.737556561085977,Medium Low,Medium Low
4648,97233,41051009702,2013,8193.0,143.0,2634.0,5141.0,367.0,0.07138688971017312,0.4008299768094715,0.09190772610765288,0.044794336628829486,0.913312693498452,0.09936005389019872,0.10879083866621758,0.8181205793196362,0.006062647356012125,0.005052206130010104,62,62,485.52036199095016,34.29260935143288,Medium Low,Medium High
4649,97233,41051009801,2013,4179.0,107.0,1464.0,2536.0,121.0,0.04771293375394322,0.3914812156018185,0.11055276381909547,0.028954295285953578,0.4039408866995074,0.05799151343705799,0.14356435643564355,0.7949080622347949,0.002828854314002829,0.033239038189533235,62,62,920.8144796380092,65.03770739064856,Medium High,Medium High
4650,97233,41051009804,2013,3252.0,94.0,1103.0,2152.0,230.0,0.10687732342007435,0.4166666666666667,0.12945879458794587,0.07072570725707257,0.7368421052631579,0.029329608938547486,0.039804469273743016,0.8917597765363129,0.006983240223463687,0.01606145251396648,62,62,8.371040723981901,0.5912518853695324,Low,Low
4651,97233,41051010100,2013,8876.0,192.0,3569.0,5712.0,740.0,0.12955182072829133,0.3899278954484002,0.14150518251464625,0.08337088778729157,0.8093841642228738,0.06903451725862933,0.08529264632316158,0.8274137068534267,0.005252626313156579,0.001250625312656328,62,62,8.371040723981901,0.5912518853695324,Low,Low
